problem_id,ascents,ratings,ratings_average,popularity,featured
1,5,1,3.0,45,false
2,,11,,0,false
3,,10,,0,false
4,,10,,0,false
5,,10,,0,false
6,,10,,0,false
7,,10,,0,false
8,,10,,0,false
9,10,1,1.0,10,false
10,10,2,1.0,10,false
11,12,1,2.0,48,false
12,13,2,2.0,52,false
13,13,1,1.0,13,false
14,16,4,2.8,125,false
15,9,1,3.0,81,false
16,13,3,2.0,52,false
17,16,4,2.0,64,false
18,12,2,2.0,48,false
19,12,4,2.0,48,false
20,10,2,2.0,40,false
21,11,3,2.7,80,false
22,13,4,2.5,81,false
23,17,6,2.5,106,false
24,7,1,3.0,63,false
25,9,1,2.0,36,false
26,11,1,1.0,11,false
27,11,1,1.0,11,false
28,19,4,1.8,61,false
29,19,3,2.3,100,false
30,16,2,1.5,36,false
31,18,10,3.3,196,false
32,,4,,0,false
33,12,1,3.0,108,false
34,13,2,2.5,81,false
35,14,2,1.5,31,false
36,23,5,2.8,180,false
37,13,3,3.0,117,false
38,17,2,2.5,106,false
39,17,2,2.5,106,false
40,14,3,3.3,152,false
41,19,3,3.0,171,false
42,21,2,2.5,131,false
43,27,3,2.7,196,false
44,29,6,2.8,227,false
45,29,3,2.7,211,false
46,28,5,3.6,362,false
47,36,3,2.3,190,false
48,19,3,2.7,138,false
49,19,11,3.9,288,false
50,8,2,3.0,72,false
51,11,3,3.3,119,false
52,11,3,3.3,119,false
53,10,5,4.2,176,false
54,8,4,2.5,50,false
55,8,3,4.3,147,false
56,10,3,3.7,136,false
57,10,3,2.7,72,false
58,8,3,3.7,109,false
59,12,5,3.4,138,false
60,12,6,3.5,147,false
61,10,3,3.0,90,false
62,10,4,3.3,108,false
63,12,5,2.4,69,false
64,11,4,2.8,86,false
65,11,11,3.1,105,false
66,13,10,3.4,150,false
67,21,10,2.8,164,false
68,13,8,4.5,263,false
69,15,7,3.9,228,false
70,25,13,2.7,182,false
71,14,6,2.3,74,false
72,19,15,3.7,260,false
73,17,9,2.6,114,false
74,19,11,2.6,128,false
75,16,6,2.2,77,false
76,16,3,2.0,64,false
77,23,14,2.5,143,false
78,29,18,2.5,181,false
79,23,13,3.3,250,false
80,13,5,2.8,101,false
81,25,15,3.1,240,false
82,33,25,3.2,337,false
83,31,21,3.1,297,false
84,35,24,2.5,218,false
85,41,24,2.7,298,false
86,46,29,3.7,629,false
87,55,34,3.3,598,false
88,70,38,3.3,762,false
89,48,31,3.2,491,false
90,67,46,3.3,729,false
91,42,35,3.1,403,false
92,92,98,3.9,1399,false
93,93,95,3.1,893,false
94,54,32,3.2,552,false
95,53,28,3.0,477,false
96,32,16,3.1,307,false
97,61,38,3.4,705,false
98,66,41,3.3,718,false
99,53,37,3.4,612,false
100,56,35,3.1,538,false
101,73,52,4.4,1413,true
102,57,33,3.6,738,false
103,46,37,4.1,773,false
104,33,35,4.2,582,false
105,5,7,2.4,28,false
106,12,10,3.4,138,false
107,6,4,3.5,73,false
108,4,3,3.7,54,false
109,46,29,2.3,243,false
110,31,23,3.2,317,false
111,13,9,3.1,124,false
112,213,203,3.5,2609,true
113,48,41,3.5,588,false
114,90,48,3.1,864,false
115,25,21,3.1,240,false
116,138,102,4.2,2434,true
117,102,58,2.6,689,false
118,95,70,3.7,1300,false
119,87,59,3.0,783,false
120,83,84,3.1,797,false
121,77,55,3.3,838,false
122,111,124,3.9,1688,true
123,66,38,2.3,349,false
124,18,14,3.2,184,false
125,9,3,3.3,98,false
126,116,71,3.7,1588,true
127,22,15,3.1,211,false
128,49,25,3.4,566,false
129,63,43,3.9,958,false
130,61,32,3.1,586,false
131,62,65,3.6,803,false
132,12,12,3.3,130,false
133,37,43,3.3,402,false
134,55,26,3.3,598,false
135,23,20,3.7,314,false
136,26,8,3.0,234,false
137,33,34,3.8,476,false
138,34,18,3.3,370,false
139,30,11,3.1,288,false
140,68,36,3.2,696,false
141,74,37,3.5,906,false
142,30,9,2.9,252,false
143,27,26,2.9,227,false
144,86,94,4.0,1376,false
145,223,212,3.5,2731,true
146,13,16,3.4,150,false
147,158,167,3.4,1826,true
148,14,13,3.0,126,false
149,21,19,3.1,201,false
150,59,32,3.3,642,false
151,59,27,3.1,566,false
152,22,9,2.7,160,false
153,42,30,3.9,638,false
154,25,13,2.9,210,false
155,48,28,3.4,554,false
156,71,40,3.3,773,false
157,60,35,3.2,614,false
158,56,28,3.3,609,false
159,62,28,2.8,486,false
160,70,38,3.5,857,false
161,13,7,3.6,168,false
162,41,49,3.6,531,false
163,36,16,3.2,368,false
164,72,44,3.8,1039,false
165,86,47,3.1,826,false
166,47,34,3.9,714,false
167,34,21,2.9,285,false
168,62,28,3.1,595,false
169,32,16,2.4,184,false
170,46,19,3.1,442,false
172,11,9,3.8,158,false
173,60,26,2.8,470,false
174,66,31,3.3,718,false
175,71,35,3.1,682,false
176,17,16,3.4,196,false
177,32,17,3.5,392,false
178,12,8,3.1,115,false
179,49,26,3.0,441,false
180,25,10,2.6,169,false
182,50,31,3.7,684,false
183,20,17,3.7,273,false
184,13,8,3.1,124,false
185,65,64,3.8,938,false
186,39,22,3.3,424,false
187,46,21,3.1,442,false
